WEB Version,Type, CS Versions
2.27.X,Chi,1.0.X
2.27.X,Coa,2.4.X
2.27.X,Ema,9.17.X
2.27.X,Imm,2.6.X
2.27.X,SieImm,3.4.X
2.27.X,Uri,6.8.X
,,
2.28.X,Chi,1.0.X
2.28.X,Coa,2.5.X
2.28.X,Ema,9.17.X
2.28.X,Imm,2.6.X
2.28.X,SieImm,3.4.X
2.28.X,Uri,6.8.X
,,
2.29.X,Chi,1.0.X
2.29.X,Coa,2.6.X
2.29.X,Ema,9.18.X
2.29.X,Imm,2.7.X
2.29.X,SieImm,3.5.X
2.29.X,Uri,6.9.X
,,
2.30.X,Chi,1.0.X
2.30.X,Coa,2.6.X
2.30.X,Ema,9.18.X
2.30.X,Imm,2.7.X
2.30.X,SieImm,3.5.X
2.30.X,Uri,6.9.X
,,
2.31.X,Chi,1.0.X
2.31.X,Coa,2.7.X
2.31.X,Ema,9.20.X
2.31.X,Imm,2.10.X
2.31.X,SieImm,3.6.X
2.31.X,Uri,6.9.X
,,
2.32.X,Chi,1.0.X
"2.32.X,Coa,""2.8.X,2.9.X"""
2.32.X,Ema,9.21.X
"2.32.X,Imm,""2.11.X,2.12.X"""
2.32.X,SieImm,3.7.X
"2.32.X,Uri,""6.10.X,6,11.X"""
,,
2.33.X,Chi,1.0.X
"2.33.X,Coa,""2.8.X,2.9.X"""
2.33.X,Ema,9.22.X
"2.33.X,Imm,""2.11.X,2.12.X"""
2.33.X,SieImm,3.7.X
2.33.X,Uri,6.11.X
,,
2.34.X,Chi,1.0.X
"2.34.X,Coa,""2.10.X"""
2.34.X,Ema,9.23.X
"2.34.X,Imm,""2.13.X"""
2.34.X,SieImm,3.9.X
2.34.X,Uri,6.12.X
